date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,changeClosePercent
2025-09-30,513.24,518.16,509.66,517.95,517.95,19494211,19494211,4.71,0.9177,514.7525,"September 30, 25",0.009177,0.650991061018269
2025-09-29,511.5,516.85,508.88,514.6,514.6,17617800,17617800,3.1,0.60606,512.9575,"September 29, 25",0.0060606,0.6139287529816739
2025-09-26,510.06,513.94,506.62,511.46,511.46,16213129,16213129,1.4,0.27448,510.52,"September 26, 25",0.0027448,0.8737155592371204
2025-09-25,508.3,510.01,505.04,507.03,507.03,15786500,15786500,-1.27,-0.24985,507.595,"September 25, 25",-0.0024985,-0.6115848279917735
2025-09-24,510.38,512.48,506.92,510.15,510.15,13533711,13533711,-0.23,-0.04506446,509.9825,"September 24, 25",-0.0004506446,0.18066492547570423
2025-09-23,513.8,514.59,507.31,509.23,509.23,19799600,19799600,-4.57,-0.88945,511.2325,"September 23, 25",-0.0088945,-1.0146758674312473
2025-09-22,515.59,517.74,512.54,514.45,514.45,20009314,20009314,-1.14,-0.22111,515.08,"September 22, 25",-0.0022111,-0.6719054698511195
2025-09-19,510.56,519.3,510.31,517.93,517.93,52474100,52474100,7.37,1.44,514.525,"September 19, 25",0.0144,1.8644901170223216
2025-09-18,511.49,513.07,507.66,508.45,508.45,18913700,18913700,-3.04,-0.59434,510.1675,"September 18, 25",-0.0059434,-0.3078310654484162
2025-09-17,510.62,511.29,505.93,510.02,510.02,15816600,15816600,-0.6,-0.1175,509.465,"September 17, 25",-0.001175,0.19251925192518282
2025-09-16,516.88,517.23,508.6,509.04,509.04,19711922,19711922,-7.84,-1.52,512.9375,"September 16, 25",-0.0152,-1.2263272275690795
2025-09-15,508.79,515.47,507.0,515.36,515.36,17143800,17143800,6.57,1.29,511.655,"September 15, 25",0.0129,1.0707981957246648
2025-09-12,506.65,512.55,503.85,509.9,509.9,23624900,23624900,3.25,0.64147,508.2375,"September 12, 25",0.0064147,1.7744156803257471
2025-09-11,502.25,503.17,497.88,501.01,501.01,18881608,18881608,-1.24,-0.24689,501.0775,"September 11, 25",-0.0024689,0.1279053500409688
2025-09-10,502.98,503.23,496.72,500.37,500.37,21611816,21611816,-2.61,-0.51891,500.825,"September 10, 25",-0.0051891,0.39325053670671295
2025-09-09,501.43,502.25,497.7,498.41,498.41,14410542,14410542,-3.02,-0.60228,499.9475,"September 09, 25",-0.0060228,0.04215174628663387
2025-09-08,498.11,501.2,495.03,498.2,498.2,16771015,16771015,0.095,0.0180683,498.135,"September 08, 25",0.000180683,0.6464646464646506
2025-09-05,509.07,511.97,492.37,495.0,495.0,31994846,31994846,-14.07,-2.76,502.1025,"September 05, 25",-0.0276,-2.55330039175542
2025-09-04,504.3,508.15,503.15,507.97,507.97,15509500,15509500,3.67,0.72774,505.8925,"September 04, 25",0.0072774,0.5184525576333199
2025-09-03,503.79,507.79,502.32,505.35,505.35,16345100,16345100,1.56,0.30965,504.8125,"September 03, 25",0.0030965,0.04553373455813414
